code;about;price;photo;in_stock
PBCA12001;طقم كبل ملحمة + بطارية 200 امبير سماكة 8 مم طول 2.5 متر TOTAL;4.96;https://hawarastore.com/wp-content/uploads/2025/08/PBCA12001.png;yes
PBCA12002;كبل ملحمة اسود 35 ملم;5.27;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img/https://hawarastore.com/wp-content/uploads/woocommerce-placeholder-600x600.png;no
PBCA16001;طقم كبل ملحمة + بطارية 600 امبير سماكة 10 مم طول 3 متر TOTAL;10.35;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img/https://hawarastore.com/wp-content/uploads/woocommerce-placeholder-600x600.png;no
PBCA16008;طقم كبل ملحمة + بطارية 600 امبير سماكة 10 مم طول 3 متر حديث TOTAL;9.66;https://hawarastore.com/wp-content/uploads/2025/08/PBCA16008L.png;yes
PBCA16008L;طقم كبل ملحمة + بطارية 600 امبير سماكة 10 مم طول 3 متر مع ليد TOTAL;10.8;https://hawarastore.com/wp-content/uploads/2025/08/PBCA16008L.png;yes
PMNB015;بوستر اعلاني قطعتين 20 فولت تلصق على الستاند;0;;no
T36-1;أزميل مبسط SDS MAX طول 35سم;0;;no
T36-2;أزميل شوكة SDS MAX طول 35سم;0;;no
TABLI20018;كور هواء 20 فولت مع كيس للغبار بدون بطارية و شاحن TOTAL حديث;15.72;https://hawarastore.com/wp-content/uploads/2025/05/TABLI20018.png;no
TABLI200181;كور هواء 20 فولت سرعتين + بطارية 2 امبير عدد 1 + شاحن TOTAL;34.64;https://hawarastore.com/wp-content/uploads/2025/08/TABLI200181.png;no
TABLI2002;كور هواء 20 فولت صناعي محرك فحمات سرعة 15000 8.5 متر مكعب بالدقيقة بدون بطارية وشاحن TOTAL;52.85;https://hawarastore.com/wp-content/uploads/2025/08/TABLI20028.png;no
TABLI20028;كور هواء 20 فولت سرعة واحدة بدون بطارية وشاحن TOTAL;10.92;https://hawarastore.com/wp-content/uploads/2025/08/TABLI200282.png;no
TABLI200281;كور هواء 20 فولت سرعة واحدة + بطارية 2 امبير+ شاحن TOTAL;27.75;https://hawarastore.com/wp-content/uploads/2025/08/TABLI200281.png;no
TABLI200282;كور هواء 20 فولت سرعة واحدة + بطارية 2 امبير عدد 2 + شاحن TOTAL حديث;35.4;https://hawarastore.com/wp-content/uploads/2025/08/TABLI200282.png;no
TABLI2003;كور هواء صناعي دفش+ شفط مع كيس غبار 40 فولت BL سرعة 11500 غزارة 10متر مكعب بدون بطارية وشاحن مرفق بدولاب TOTAL;54.24;https://hawarastore.com/wp-content/uploads/2025/08/TABLI2003.png;yes
TABLI20323;كور هواء صناعي بطارية 20 فولت سرعة 15000 غزارة 8.5 متر مكعب بدون بطارية وشاحن TOTAL;21.81;;no
TABLI203232;كور هواء صناعي بطارية 20 فولت 8.5 متر مكعب/دقيقة + بطارية 2 امبير عدد 2 + شاحن ماركة TOTAL;49.82;;no
TABLI20428;كور هواء 20 فولت صناعي متسارع سرعة 18500 غزارة 8.5 متر مكعب بدون بطارية وشاحن TOTAL;35.48;https://hawarastore.com/wp-content/uploads/2025/08/TABLI20428.png;no
TABLI20682;كور هواء بطارية 20 فولت 3 سرعات BL + بطارية 2 امبير عدد 2 + شاحن ماركة TOTAL;41.46;https://hawarastore.com/wp-content/uploads/2026/04/TABLI20682.png;yes
TABLI2078;كور هواء 20 فولت سرعة واحدة بدون بطارية وشاحن TOTAL .;10.21;https://hawarastore.com/wp-content/uploads/2026/02/TABLI2078.png;yes
TABLI20781;كور هواء 20 فولت سرعة واحدة مع كيس غبار + بطارية 2 امبير + شاحن ماركة TOTAL موديل حديث;24.3;https://hawarastore.com/wp-content/uploads/2025/10/FFFFFF.webp;yes
TABLI20782;كور هواء 20 فولت سرعة واحدة مع كيس غبار + بطارية 2 امبير عدد 2  + شاحن ماركة TOTAL موديل حديث;37.6;;no
TAC006016;ورق برداغ 230 × 280 نعومة 60 P مجموعة 50 قطعة TOTAL;8.78;https://hawarastore.com/wp-content/uploads/2025/08/TAC006016.png;yes
TAC008016;ورق برداغ 230 × 280 نعومة 80 P مجموعة 50 قطعة TOTAL;9.66;https://hawarastore.com/wp-content/uploads/2025/08/TAC008016.png;yes
TAC010016;ورق برداغ 230 × 280 نعومة 100 P مجموعة 50 قطعة TOTAL;9.66;https://hawarastore.com/wp-content/uploads/2025/08/TAC010016.png;yes
TAC012016;ورق برداغ 230 × 280 نعومة 120 P مجموعة 50 قطعة TOTAL;7.44;https://hawarastore.com/wp-content/uploads/2025/08/TAC012016.png;yes
TAC015016;مجموعة برداغ 50قطعة 230 × 280 نعومة 150 P ماركة TOTAL;7.44;https://hawarastore.com/wp-content/uploads/2025/08/TAC015016.png;yes
TAC018016;مجموعة برداغ 50قطعة 230 × 280 نعومة 180 P ماركة TOTAL;7.44;https://hawarastore.com/wp-content/uploads/2025/08/TAC018016.png;yes
TAC022016;مجموعة برداغ 50 قطعة 280 × 30 مم نعومة 220 ماركة TOTAL;7.44;https://hawarastore.com/wp-content/uploads/2025/08/TAC022016.png;yes
TAC02271;كبسات مسامير طول 27 مم عدد 1000 قطعة لزوم كباسة باطون بطارية TCNLI9005 ماركة TOTAL;4.32;;no
TAC028016;مجموعة برداغ50قطعة 230 × 280 نعومة 280 P ماركة TOTAL;6.84;https://hawarastore.com/wp-content/uploads/2025/08/TAC028016.png;yes
TAC0304375;طقم ازميل 4 قطع SDS HEX علبة معدن TOTAL;32.51;https://hawarastore.com/wp-content/uploads/2025/08/TAC0304375.png;yes
TAC032016;مجموعة برداغ 50 قطعة 280 × 30 مم نعومة 320 ماركة TOTAL;6.84;https://hawarastore.com/wp-content/uploads/2025/08/TAC032016.png;yes
TAC040016;مجموعة برداغ 50 قطعة 280 × 30 مم نعومة 400 ماركة TOTAL;7.53;https://hawarastore.com/wp-content/uploads/2025/08/TAC040016.png;yes
TAC0501;طقم ريش حفر خشب 5 قطع 12/14/16/18/20 طول 46 سم طول العمل 37 سم (( صناعي )) TOTAL;24.28;;no
TAC061151;ديسك قص الماس قص ( رخام + حجر+ غرانيت ) 4.5 انش سماكة 1.6 مم ماركة TOTAL رطب;1.52;;no
TAC061251;ديسك قص الماس رخام 5 انش عرض 10مم سماكة 1.5 مم فتحة 22.2 مم TOTAL رطب + جاف;1.89;;no
TAC061801;ديسك قص الماس رخام 7 انش عرض 10مم سماكة 2.2مم فتحة 22.2 مم TOTAL رطب + جاف;3.62;https://hawarastore.com/wp-content/uploads/2026/03/TAC061801.png;yes
TAC062301;ديسك قص الماس 9 انش سماكة 1.6 مم  (باطون +رخام + غرانيت ) ماركة TOTAL رطب;6.22;https://hawarastore.com/wp-content/uploads/2026/06/TAC062301.png;yes
TAC06825;مسمار بدون راس طول 25 مم 10000 قطعة لون اصفر ماركة TOTAL;3.14;https://hawarastore.com/wp-content/uploads/2025/08/TAC06825.png;yes
TAC100103;ريشة حديد 1 مم موديل HSS ماركة TOTAL;0.06;https://hawarastore.com/wp-content/uploads/2025/08/TAC100103.png;yes
TAC100203;ريشة حديد 2 مم موديل HSS ماركة TOTAL;0.08;https://hawarastore.com/wp-content/uploads/2025/08/TAC100203.png;yes
TAC100253;ريشة حديد 2.5 مم موديل HSS ماركة TOTAL;0.06;https://hawarastore.com/wp-content/uploads/2024/05/TAC100253.png;yes
TAC100303;ريشة حديد 3 مم موديل HSS ماركة TOTAL;0.09;https://hawarastore.com/wp-content/uploads/2025/08/TAC100303.png;yes
TAC100353;ريشة حديد 3.5 مم موديل HSS ماركة TOTAL;0.1;https://hawarastore.com/wp-content/uploads/2024/05/TAC100353.png;no
TAC100403;ريشة حديد 4 مم موديل HSS ماركة TOTAL;0.13;https://hawarastore.com/wp-content/uploads/2025/08/TAC100403.png;yes
TAC100453;ريشة حديد 4.5 مم موديل HSS ماركة TOTAL;0.18;https://hawarastore.com/wp-content/uploads/2025/08/TAC100453.png;yes
TAC100503;ريشة حديد 5 مم موديل HSS ماركة TOTAL;0.18;https://hawarastore.com/wp-content/uploads/2025/08/TAC100503.png;no
TAC100553;ريشة حديد 5.5 مم موديل HSS ماركة TOTAL;0.22;https://hawarastore.com/wp-content/uploads/2024/05/TAC100503.png;yes
TAC100603;ريشة حديد 6 مم موديل HSS ماركة TOTAL;0.22;https://hawarastore.com/wp-content/uploads/2025/08/TAC100603.png;yes
TAC100653;ريشة حديد 6.5 مم موديل HSS ماركة TOTAL;0.3;https://hawarastore.com/wp-content/uploads/2025/08/TAC100653.png;yes
TAC100703;ريشة حديد 7 مم موديل HSS ماركة TOTAL;0.38;https://hawarastore.com/wp-content/uploads/2024/05/TAC100753.png;yes
TAC100753;ريشة حديد 7.5 مم موديل HSS ماركة TOTAL;0.42;https://hawarastore.com/wp-content/uploads/2024/05/TAC100803.png;yes
TAC100803;ريشة حديد 8 مم موديل HSS ماركة TOTAL;0.5;https://hawarastore.com/wp-content/uploads/2025/08/TAC100803.png;no
TAC100853;ريشه حديد 8.5 مم موديل HSS ماركة TOTAL;0.43;https://hawarastore.com/wp-content/uploads/2025/08/TAC100853.png;yes
TAC100903;ريشه حديد 9 مم موديل HSS ماركة TOTAL;0.46;https://hawarastore.com/wp-content/uploads/2025/08/TAC100903.png;yes
TAC100953;ريشة حديد 9.5 مم موديل HSS ماركة TOTAL;0.72;https://hawarastore.com/wp-content/uploads/2024/05/TAC101103.png;no
TAC101003;ريشة حديد 10 مم موديل HSS ماركة TOTAL;0.82;https://hawarastore.com/wp-content/uploads/2025/08/TAC101003.png;no
TAC1010115;حجر قص معدن 4.5 انش سماكة 1 مم TOTAL علبة 10 قطع;2.98;;no
TAC101053;ريشة حديد 10.5 مم موديل HSS ماركة TOTAL;0.92;https://hawarastore.com/wp-content/uploads/2025/08/TAC101053.png;yes
TAC101103;ريشة حديد 11 مم موديل HSS ماركة TOTAL;1.05;https://hawarastore.com/wp-content/uploads/2025/08/TAC101103.png;yes
TAC101153;ريشة حديد 11.5 مم موديل HSS ماركة TOTAL;1.06;https://hawarastore.com/wp-content/uploads/2025/08/TAC101153.png;yes
TAC101203;ريشة حديد 12 مم موديل HSS ماركة TOTAL;1.25;https://hawarastore.com/wp-content/uploads/2024/05/TAC100903.png;no
TAC101253;ريشة حديد 12.5 مم موديل HSS ماركة TOTAL;1.31;https://hawarastore.com/wp-content/uploads/2025/08/TAC101253.png;yes
TAC101303;ريشة حديد 13 مم موديل HSS ماركة TOTAL;1.39;https://hawarastore.com/wp-content/uploads/2025/08/TAC101303.png;yes
TAC101403;ريشة حديد 14 مم موديل HSS ماركة TOTAL;1.57;https://hawarastore.com/wp-content/uploads/2025/08/TAC101403.png;yes
TAC101503;ريشة حديد 15 مم موديل HSS ماركة TOTAL;2.27;https://hawarastore.com/wp-content/uploads/2025/08/TAC101503.png;yes
TAC1015115;حجر قص معدن 4.5 انش سماكة 1 مم TOTAL علبة 15 قطع;3.56;;no
